siren,ind_adhesion_directe,siren_membre
200000677,0,200033652
200000677,0,200034346
200000677,0,200056133
200000677,0,200065274
200000677,0,200083616
200000677,0,200087070
200000677,0,214200552
200000677,0,214200628
200000677,0,214201022
200000677,0,214201386
200000677,0,214202160
200000677,0,214203358
200000677,0,214203366
200000677,0,216900019
200000677,0,216900043
200000677,0,216900050
200000677,0,216900068
200000677,0,216900084
200000677,0,216900092
200000677,0,216900100
200000677,0,216900142
200000677,0,216900175
200000677,0,216900209
200000677,0,216900217
200000677,0,216900225
200000677,0,216900266
200000677,0,216900308
200000677,0,216900316
200000677,0,216900324
200000677,0,216900373
200000677,0,216900381
200000677,0,216900399
200000677,0,216900423
200000677,0,216900472
200000677,0,216900498
200000677,0,216900506
200000677,0,216900522
200000677,0,216900548
200000677,0,216900555
200000677,0,216900563
200000677,0,216900571
200000677,0,216900597
200000677,0,216900605
200000677,0,216900621
200000677,0,216900670
200000677,0,216900704
200000677,0,216900753
200000677,0,216900761
200000677,0,216900787
200000677,0,216900837
200000677,0,216900860
200000677,0,216900902
200000677,0,216900936
200000677,0,216900951
200000677,0,216900985
200000677,0,216900993
200000677,0,216901025
200000677,0,216901066
200000677,0,216901074
200000677,0,216901108
200000677,0,216901116
200000677,0,216901124
200000677,0,216901132
200000677,0,216901207
200000677,0,216901215
200000677,0,216901223
200000677,0,216901256
200000677,0,216901264
200000677,0,216901306
200000677,0,216901322
200000677,0,216901348
200000677,0,216901389
200000677,0,216901397
200000677,0,216901405
200000677,0,216901553
200000677,0,216901561
200000677,0,216901603
200000677,0,216901645
200000677,0,216901694
200000677,0,216901710
200000677,0,216901736
200000677,0,216901744
200000677,0,216901751
200000677,0,216901777
200000677,0,216901785
200000677,0,216901819
200000677,0,216901835
200000677,0,216901843
200000677,0,216901876
200000677,0,216901884
200000677,0,216902007
200000677,0,216902015
200000677,0,216902031
200000677,0,216902122
200000677,0,216902148
200000677,0,216902163
200000677,0,216902171
200000677,0,216902205
200000677,0,216902254
200000677,0,216902270
200000677,0,216902296
200000677,0,216902304
200000677,0,216902312
200000677,0,216902346
200000677,0,216902387
200000677,0,216902395
200000677,0,216902403
200000677,0,216902437
200000677,0,216902452
200000677,0,216902460
200000677,0,216902544
200000677,0,216902635
200001238,0,211100128
200001238,0,211100144
200001238,0,211100243
200001238,0,211101068
200001238,0,211101167
200001238,0,211101456
200001238,0,211101704
200001238,0,211102330
200001238,0,211102553
200001238,0,211102587
200001238,0,211102629
200001238,0,211102645
200001238,0,211102694
200001238,0,211103692
200001238,0,211103700
200001238,0,211104419
200001238,0,213400526
200001238,0,213401359
200001238,0,213401672
200001238,0,213401839
200001238,0,213402068
200001238,0,213403298
200002087,0,211300041
200002087,1,211300066
200002087,0,211300173
200002087,0,211300355
200002087,0,211300496
200002087,0,211300611
200002087,1,211300652
200002087,0,211300967
200002087,0,211300975
200002087,0,211301080
200002434,0,200065480
200002434,0,200083657
200002434,0,200085025
200002434,0,212300107
200002434,0,212300206
200002434,0,212300404
200002434,0,212300602
200002434,0,212300701
200002434,0,212301006
200002434,1,212301105
200002434,0,212301501
200002434,0,212301600
200002434,0,212302103
